file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$TextField,"TextField/2[int,java.lang.String[]]",TRUE,887,0,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$TextField,"appendTo/2[java.lang.Appendable,java.util.Calendar]",FALSE,911,0,0,0,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\time\FastDatePrinter.java,org.apache.commons.lang3.time.FastDatePrinter$TextField,estimateLength/0,FALSE,896,0,0,0,0,3,1,10,1,3,0,1,0,0,1,0,0,0,0,2,4,0,2,0,0,0,5,1,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,extractCauseUnchecked/1[java.util.concurrent.ExecutionException],FALSE,81,2,3,1,2,3,3,7,2,0,1,3,1,1,0,2,0,0,0,0,0,0,1,0,0,0,44,9,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,throwCause/1[java.util.concurrent.ExecutionException],FALSE,155,0,2,2,0,3,1,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,22,10,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,handleCause/1[java.util.concurrent.ExecutionException],FALSE,104,2,2,1,1,2,1,6,0,1,1,1,1,2,0,1,0,0,0,0,1,0,1,0,0,0,46,9,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,checkedException/1[java.lang.Throwable],FALSE,142,1,5,4,1,2,1,4,1,0,1,1,0,0,0,1,0,2,1,0,0,1,0,0,0,0,24,8,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,ConcurrentUtils/0,TRUE,38,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,initialize/1[org.apache.commons.lang3.concurrent.ConcurrentInitializer<T>],FALSE,179,2,2,1,1,2,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36,9,0,TRUE
C:\Users\draj0.CHANDRIKAV\Downloads\commons-lang-master\commons-lang-master\src\main\java\org\apache\commons\lang3\concurrent\ConcurrentUtils.java,org.apache.commons.lang3.concurrent.ConcurrentUtils,"putIfAbsent/3[java.util.concurrent.ConcurrentMap<K,V>,K,V]",FALSE,236,2,1,1,0,3,1,7,2,1,3,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,59,9,0,TRUE
